DESC_APRESENTACAO;DIAS;UND;UF
174;A;2022-08-08;660.0;AM
175;A;2022-08-22;120.0;PE
176;A;2022-04-04;100.0;PE
177;A;2022-04-21;50.0;MG
178;A;2022-04-13;370.0;MG
179;A;2022-04-15;40.0;MG
180;A;2022-04-12;450.0;MG
181;A;2022-04-04;420.0;MG
182;A;2022-04-06;470.0;MG
183;A;2022-04-28;240.0;PR
184;A;2022-04-29;40.0;BA
185;A;2022-04-26;260.0;RO
186;A;2022-04-05;450.0;SC
187;A;2022-04-12;2470.0;MA
188;A;2022-04-16;0.0;AP
189;A;2022-04-06;4490.0;PA
190;A;2022-04-06;580.0;PB
191;A;2022-04-04;460.0;PB
192;A;2022-04-05;160.0;AL
193;A;2022-04-07;40.0;AL
194;A;2022-04-11;230.0;AM
195;A;2022-04-06;790.0;AM
196;A;2022-04-18;260.0;AM
197;A;2022-04-04;210.0;AM
198;A;2022-04-11;2370.0;MA
199;A;2022-04-29;260.0;PR
200;A;2022-04-25;280.0;PR
201;A;2022-04-14;390.0;SC
202;A;2022-04-05;380.0;AM
203;A;2022-04-30;20.0;RS
204;A;2022-04-27;140.0;RS
205;A;2022-04-02;130.0;SC
206;A;2022-04-05;580.0;PB
207;A;2022-04-30;90.0;PE
208;A;2022-04-14;510.0;SE
209;A;2022-04-06;360.0;SE
210;A;2022-04-27;340.0;SE
211;A;2022-04-10;20.0;SE
212;A;2022-04-09;140.0;PI
213;A;2022-04-23;450.0;MA
214;A;2022-04-26;2500.0;PA
215;A;2022-04-16;120.0;PB
216;A;2022-04-23;750.0;PA
217;A;2022-10-31;420.0;SE
218;A;2022-10-29;1930.0;PA
219;A;2022-10-25;720.0;MG
220;A;2022-10-19;2030.0;MA
221;A;2022-10-19;3700.0;PA
222;A;2022-10-21;350.0;SC
223;A;2022-10-18;540.0;AM
224;A;2022-10-18;3690.0;PA
225;A;2022-10-17;570.0;MG
226;A;2022-10-17;3000.0;PA
227;A;2022-10-15;170.0;MG
228;A;2022-10-14;360.0;RN
229;A;2022-10-11;1110.0;CE
230;A;2022-10-13;490.0;SC
231;A;2022-10-10;620.0;SE
232;A;2022-10-08;250.0;AM
233;A;2022-10-08;130.0;MG
234;A;2022-10-05;310.0;PE
235;A;2022-10-06;130.0;PE
236;A;2022-10-05;2120.0;MA
237;A;2022-10-04;130.0;RS
238;A;2022-10-04;450.0;SC
239;A;2022-10-03;910.0;MA
240;A;2022-07-29;280.0;AP
241;A;2022-07-29;970.0;BA
242;A;2022-07-25;450.0;BA
243;A;2022-07-23;10.0;BA
244;A;2022-07-18;190.0;PR
245;A;2022-07-15;250.0;PE
246;A;2022-07-14;520.0;MG
247;A;2022-07-12;360.0;MG
248;A;2022-07-16;80.0;BA
249;A;2022-07-01;410.0;BA
250;A;2022-07-07;800.0;BA
251;A;2022-07-07;40.0;AL
252;A;2022-07-25;1720.0;MA
253;A;2022-07-12;2900.0;MA
254;A;2022-07-21;70.0;RS
255;A;2022-07-09;220.0;RO
256;A;2022-07-31;60.0;PI
257;A;2022-07-28;180.0;RN
258;A;2022-07-22;4850.0;PA
259;A;2022-07-06;200.0;PR
260;A;2022-07-25;120.0;RS
261;A;2022-07-25;440.0;PB
262;A;2022-07-12;690.0;PB
263;A;2022-07-28;370.0;AM
264;A;2022-07-27;2160.0;MA
265;A;2022-07-18;100.0;PI
266;A;2022-07-18;2230.0;MA
267;A;2022-07-14;110.0;PE
268;A;2022-07-16;90.0;SE
269;A;2022-07-11;660.0;SE
270;A;2022-07-13;4520.0;PA
271;A;2022-07-01;410.0;SE
272;A;2022-07-03;130.0;SE
273;A;2022-07-07;1490.0;PA
274;A;2022-07-19;250.0;MG
275;A;2022-07-04;560.0;MG
276;A;2022-07-09;50.0;ES
277;A;2022-05-07;60.0;PE
278;A;2022-05-06;430.0;MG
279;A;2022-05-03;670.0;MG
280;A;2022-05-11;440.0;MG
281;A;2022-05-19;410.0;MG
282;A;2022-05-08;50.0;MG
283;A;2022-05-02;520.0;MG
284;A;2022-05-31;40.0;RS
285;A;2022-05-09;60.0;BA
286;A;2022-05-11;340.0;SC
287;A;2022-05-13;190.0;AL
288;A;2022-05-22;30.0;AL
289;A;2022-05-20;100.0;AL
290;A;2022-06-05;90.0;CE
291;A;2022-06-03;3840.0;PA
292;A;2022-05-13;2370.0;PA
293;A;2022-05-26;1480.0;PA
294;A;2022-05-07;1260.0;PA
295;A;2022-05-17;4290.0;PA
296;A;2022-05-01;430.0;PA
297;A;2022-06-09;140.0;SC
298;A;2022-05-04;440.0;SC
299;A;2022-05-14;580.0;AM
300;A;2022-05-23;110.0;PI
301;A;2022-05-18;360.0;AM
302;A;2022-05-24;60.0;RS
303;A;2022-05-11;370.0;PB
304;A;2022-06-06;190.0;RN
305;A;2022-05-16;150.0;RN
306;A;2022-05-18;290.0;RN
307;A;2022-05-12;600.0;CE
308;A;2022-05-10;740.0;CE
309;A;2022-05-30;550.0;SE
310;A;2022-05-10;2470.0;MA
311;A;2022-05-23;2600.0;MA
312;A;2022-05-11;2480.0;MA
313;A;2022-05-19;130.0;AL
314;A;2022-05-06;4280.0;PA
315;A;2022-06-02;380.0;AM
316;A;2022-05-12;110.0;PE
317;A;2022-06-07;380.0;MG
318;A;2022-06-02;510.0;MG
319;A;2022-06-01;350.0;MG
320;A;2022-06-22;460.0;MG
321;A;2022-06-28;340.0;MG
322;A;2022-06-22;430.0;SE
323;A;2022-06-29;360.0;SC
324;A;2022-06-17;100.0;AP
325;A;2022-06-23;690.0;RN
326;A;2022-06-22;250.0;SC
327;A;2022-06-11;280.0;AM
328;A;2022-06-25;110.0;MG
329;A;2022-06-15;320.0;RN
330;A;2022-06-20;90.0;RN
331;A;2022-06-27;700.0;CE
332;A;2022-06-24;10.0;SE
333;A;2022-06-17;4980.0;MA
334;A;2022-06-29;3340.0;MA
335;A;2022-06-24;200.0;PI
336;A;2022-06-23;1980.0;PA
337;A;2022-06-21;4190.0;PA
338;A;2022-06-30;420.0;MG
339;A;2022-11-30;440.0;MG
340;A;2022-11-29;2450.0;PA
341;A;2022-11-30;2020.0;BA
342;A;2022-11-29;590.0;SC
343;A;2022-11-25;110.0;AL
344;A;2022-11-23;450.0;AM
345;A;2022-11-24;820.0;SE
346;A;2022-11-24;140.0;PR
347;A;2022-11-24;40.0;AL
348;A;2022-11-21;2710.0;MA
349;A;2022-11-21;2510.0;PA
350;A;2022-11-16;2720.0;MA
351;A;2022-11-18;550.0;BA
352;A;2022-11-17;200.0;AP
353;A;2022-11-15;450.0;MA
354;A;2022-11-11;760.0;SE
355;A;2022-11-07;260.0;PE
356;A;2022-11-08;280.0;AM
357;A;2022-11-10;300.0;AM
358;A;2022-11-08;510.0;MG
359;A;2022-11-07;530.0;MG
360;A;2022-11-10;390.0;SE
361;A;2022-11-09;630.0;ES
362;A;2022-11-08;530.0;SC
363;A;2022-11-06;170.0;SE
364;A;2022-11-03;160.0;PE
365;A;2022-11-03;680.0;SE
366;A;2022-11-04;2640.0;PA
367;A;2022-11-01;370.0;SC
368;A;2022-09-30;1290.0;CE
369;A;2022-09-27;420.0;MG
370;A;2022-09-26;480.0;MG
371;A;2022-09-26;3060.0;PA
372;A;2022-09-21;1250.0;BA
373;A;2022-09-19;460.0;MG
374;A;2022-09-16;710.0;MG
375;A;2022-09-13;1010.0;BA
376;A;2022-09-09;130.0;RS
377;A;2022-09-09;70.0;AP
378;A;2022-09-08;440.0;ES
